train_id,user_id,business_id,rating,date
0,0,0,5,2013-11-20
1,1,0,4,2015-02-21
2,2,0,4,2013-04-27
3,3,1,3,2015-07-11
4,4,1,4,2010-04-05
5,5,1,2,2011-06-15
6,6,1,4,2011-08-10
7,7,1,2,2013-06-17
8,8,1,3,2012-10-08
9,9,1,5,2015-12-28
10,10,1,2,2009-11-18
11,11,1,3,2012-08-23
12,12,1,4,2009-06-25
13,13,1,4,2008-10-06
14,14,1,3,2015-03-17
15,15,1,1,2014-04-22
16,16,1,5,2016-05-07
17,17,1,3,2014-05-29
18,18,1,5,2015-07-13
19,19,1,3,2015-02-12
20,20,1,2,2009-01-24
21,21,1,4,2014-08-28
22,22,1,4,2010-07-02
23,23,1,2,2015-01-21
24,24,1,4,2016-02-13
25,25,1,5,2012-07-08
26,26,1,2,2013-05-23
27,27,1,5,2016-03-17
28,28,1,4,2015-08-08
29,29,1,2,2008-11-27
30,30,2,5,2012-02-25
31,31,2,3,2011-06-14
32,32,2,5,2013-11-23
33,33,2,5,2014-03-21
34,34,2,5,2013-03-20
35,35,2,3,2015-01-14
36,36,2,1,2014-11-21
37,37,2,3,2010-05-18
38,38,2,2,2013-09-11
39,39,2,4,2010-08-22
40,40,2,5,2014-08-14
41,41,2,1,2015-06-05
42,42,2,3,2014-04-04
43,43,2,4,2010-08-18
44,44,2,1,2011-10-28
45,45,2,5,2016-04-02
46,46,2,4,2012-09-12
47,47,2,3,2016-09-09
48,48,2,5,2015-01-28
49,49,2,5,2016-06-04
50,50,2,5,2012-12-02
51,51,3,3,2008-12-13
52,52,3,5,2013-02-17
53,53,3,3,2011-08-14
54,54,3,4,2014-11-12
55,55,3,4,2014-10-29
56,56,3,4,2013-06-08
57,57,3,5,2014-07-29
58,58,3,4,2015-06-14
59,59,3,3,2011-03-04
60,60,3,2,2013-10-07
61,61,3,4,2012-01-09
62,62,3,5,2014-09-28
63,63,3,4,2012-10-16
64,64,3,5,2011-06-15
65,65,3,4,2013-11-15
66,66,3,3,2009-08-10
67,67,3,5,2015-04-15
68,68,3,5,2015-06-17
69,69,3,4,2012-07-08
70,70,3,4,2014-06-01
71,71,3,5,2014-01-15
72,72,3,4,2013-08-26
73,73,3,4,2013-04-10
74,74,3,5,2009-06-06
75,75,3,4,2012-06-07
76,76,3,4,2012-01-16
77,77,3,5,2013-02-23
78,78,3,3,2014-09-10
79,79,3,3,2009-08-09
80,80,3,3,2014-06-14
81,81,3,4,2012-02-04
82,82,3,5,2014-08-24
83,83,3,4,2012-03-19
84,84,3,3,2014-03-28
85,85,3,3,2010-01-05
86,86,3,3,2009-08-07
87,87,3,5,2012-05-26
88,88,3,4,2012-03-23
89,89,3,4,2014-07-07
90,90,3,2,2014-02-16
91,91,3,3,2012-08-05
92,92,3,2,2013-10-05
93,93,3,3,2014-08-23
94,94,3,4,2012-04-10
95,95,3,3,2010-10-25
96,96,3,4,2014-07-27
97,97,3,4,2015-06-14
98,98,3,4,2012-10-16
99,99,3,3,2011-11-14
100,100,3,4,2014-08-23
101,101,3,2,2013-10-06
102,102,3,4,2013-11-14
103,103,3,5,2011-06-09
104,104,4,4,2008-10-11
105,105,4,1,2013-10-31
106,106,4,1,2012-05-05
107,107,5,3,2011-03-24
108,108,5,5,2015-12-04
109,109,5,3,2008-09-14
110,110,5,4,2010-10-18
111,111,5,4,2012-05-04
112,112,5,3,2014-02-10
113,113,5,3,2014-02-15
114,114,5,2,2013-08-04
115,115,6,5,2016-12-27
116,116,6,5,2016-10-29
117,117,6,5,2016-12-23
118,118,7,5,2011-12-20
119,119,7,4,2012-11-01
